CMDLINE /usr/bin/python np11.py
MEM 1.718750 1517172027.7889
MEM 20.789062 1517172027.8892
MEM 29.597656 1517172027.9895
MEM 30.113281 1517172028.0897
MEM 38.328125 1517172028.1901
MEM 55.546875 1517172028.2904
MEM 68.410156 1517172028.3906
MEM 81.121094 1517172028.4911
MEM 81.121094 1517172028.5915
MEM 98.972656 1517172028.6920
MEM 102.136719 1517172028.7923
MEM 118.230469 1517172028.8926
MEM 120.785156 1517172028.9929
MEM 123.355469 1517172029.0932
MEM 129.277344 1517172029.1936
MEM 137.800781 1517172029.2939
MEM 160.261719 1517172029.3942
MEM 176.800781 1517172029.4945
MEM 199.152344 1517172029.5949
MEM 201.269531 1517172029.6952
MEM 203.308594 1517172029.7955
MEM 211.425781 1517172029.8958
MEM 214.367188 1517172029.9962
MEM 220.843750 1517172030.0966
MEM 233.816406 1517172030.1970
MEM 237.480469 1517172030.2973
MEM 239.761719 1517172030.3976
MEM 251.296875 1517172030.4980
MEM 259.546875 1517172030.5983
MEM 267.781250 1517172030.6987
MEM 267.839844 1517172030.7990
MEM 278.484375 1517172030.8995
MEM 284.640625 1517172030.9998
MEM 293.992188 1517172031.1002
MEM 299.222656 1517172031.2007
MEM 299.222656 1517172031.3011
MEM 304.562500 1517172031.4014
MEM 314.023438 1517172031.5018
MEM 325.121094 1517172031.6021
MEM 340.742188 1517172031.7025
MEM 343.949219 1517172031.8028
MEM 346.351562 1517172031.9032
MEM 346.351562 1517172032.0035
MEM 348.929688 1517172032.1039
MEM 349.062500 1517172032.2042
MEM 349.062500 1517172032.3045
MEM 349.062500 1517172032.4049
MEM 416.121094 1517172032.5058
MEM 494.359375 1517172032.6062
MEM 638.445312 1517172032.7066
MEM 797.007812 1517172032.8069
MEM 825.250000 1517172032.9075
MEM 980.253906 1517172033.0079
MEM 1090.843750 1517172033.1082
MEM 1220.144531 1517172033.2085
MEM 1230.613281 1517172033.3088
MEM 1243.214844 1517172033.4091
MEM 1260.925781 1517172033.5094
MEM 1379.523438 1517172033.6104
MEM 1680.640625 1517172033.7109
MEM 1935.417969 1517172033.8113
MEM 1946.554688 1517172033.9118
MEM 1955.835938 1517172034.0122
MEM 1974.914062 1517172034.1127
MEM 1987.546875 1517172034.2131
MEM 2008.687500 1517172034.3137
MEM 2021.062500 1517172034.4140
MEM 2042.460938 1517172034.5145
MEM 2055.093750 1517172034.6150
MEM 2077.523438 1517172034.7157
MEM 2050.949219 1517172034.8163
MEM 2067.570312 1517172034.9167
MEM 2083.039062 1517172035.0172
MEM 2096.441406 1517172035.1176
MEM 2114.230469 1517172035.2180
MEM 2129.957031 1517172035.3185
MEM 2144.394531 1517172035.4189
MEM 2162.441406 1517172035.5193
MEM 2176.878906 1517172035.6198
MEM 2234.714844 1517172035.7202
MEM 2326.804688 1517172035.8206
MEM 2442.757812 1517172035.9210
MEM 2505.921875 1517172036.0215
MEM 2505.921875 1517172036.1218
MEM 2609.117188 1517172036.2222
MEM 3052.957031 1517172036.3226
MEM 2614.734375 1517172036.4230
MEM 2505.917969 1517172036.5233
MEM 2657.460938 1517172036.6238
MEM 2229.781250 1517172036.7242
MEM 2230.222656 1517172036.8246
MEM 2230.222656 1517172036.9249
MEM 2230.222656 1517172037.0253
MEM 2230.222656 1517172037.1256
MEM 2261.769531 1517172037.2259
MEM 2297.500000 1517172037.3262
MEM 2334.773438 1517172037.4265
MEM 2393.039062 1517172037.5269
MEM 2409.210938 1517172037.6272
MEM 2409.820312 1517172037.7275
MEM 2409.820312 1517172037.8278
MEM 2409.820312 1517172037.9281
MEM 2409.820312 1517172038.0285
MEM 2410.082031 1517172038.1288
MEM 2411.441406 1517172038.2292
MEM 2411.445312 1517172038.3295
MEM 2411.445312 1517172038.4299
MEM 2411.445312 1517172038.5302
MEM 2411.445312 1517172038.6305
MEM 2411.585938 1517172038.7309
MEM 2411.812500 1517172038.8312
MEM 2411.812500 1517172038.9315
MEM 2411.812500 1517172039.0318
MEM 2411.847656 1517172039.1322
MEM 2412.085938 1517172039.2325
MEM 2412.085938 1517172039.3330
MEM 2412.085938 1517172039.4335
MEM 2412.085938 1517172039.5338
MEM 2412.578125 1517172039.6341
MEM 2419.796875 1517172039.7344
MEM 2420.394531 1517172039.8348
MEM 2420.394531 1517172039.9351
MEM 2420.394531 1517172040.0355
MEM 2420.394531 1517172040.1358
MEM 2420.449219 1517172040.2361
MEM 2421.378906 1517172040.3364
MEM 2422.320312 1517172040.4367
MEM 2423.070312 1517172040.5370
MEM 2423.972656 1517172040.6373
MEM 2424.820312 1517172040.7376
MEM 2425.460938 1517172040.8379
MEM 2426.320312 1517172040.9381
MEM 2427.332031 1517172041.0384
MEM 2428.023438 1517172041.1387
MEM 2429.246094 1517172041.2390
MEM 2430.105469 1517172041.3393
MEM 2430.820312 1517172041.4396
MEM 2431.621094 1517172041.5399
MEM 2432.378906 1517172041.6402
MEM 2433.402344 1517172041.7405
MEM 2434.183594 1517172041.8408
MEM 2435.082031 1517172041.9411
MEM 2435.949219 1517172042.0414
MEM 2436.570312 1517172042.1417
MEM 2437.550781 1517172042.2419
MEM 2438.433594 1517172042.3422
MEM 2439.324219 1517172042.4425
MEM 2440.109375 1517172042.5428
MEM 2440.746094 1517172042.6431
MEM 2441.820312 1517172042.7434
MEM 2442.906250 1517172042.8437
MEM 2443.742188 1517172042.9440
MEM 2444.316406 1517172043.0443
MEM 2445.093750 1517172043.1446
MEM 2446.156250 1517172043.2449
MEM 2446.933594 1517172043.3453
MEM 2446.933594 1517172043.4456
MEM 2446.933594 1517172043.5460
MEM 2446.933594 1517172043.6463
MEM 2447.050781 1517172043.7466
MEM 2447.050781 1517172043.8469
MEM 2447.050781 1517172043.9473
MEM 2447.050781 1517172044.0477
MEM 2447.429688 1517172044.1479
MEM 2447.820312 1517172044.2483
MEM 2447.820312 1517172044.3487
MEM 2448.179688 1517172044.4490
MEM 2448.214844 1517172044.5493
MEM 2448.261719 1517172044.6496
MEM 2448.300781 1517172044.7499
MEM 2448.304688 1517172044.8503
MEM 2448.312500 1517172044.9506
MEM 2448.324219 1517172045.0510
MEM 2448.328125 1517172045.1512
MEM 2448.371094 1517172045.2516
MEM 2448.382812 1517172045.3519
MEM 2448.394531 1517172045.4522
MEM 2448.394531 1517172045.5525
MEM 2448.410156 1517172045.6528
MEM 2448.421875 1517172045.7531
MEM 2448.421875 1517172045.8533
MEM 2448.437500 1517172045.9536
MEM 2448.832031 1517172046.0539
MEM 2449.398438 1517172046.1542
MEM 2450.000000 1517172046.2545
MEM 2451.230469 1517172046.3547
MEM 2453.187500 1517172046.4550
MEM 2455.125000 1517172046.5554
MEM 2458.308594 1517172046.6557
MEM 2462.542969 1517172046.7560
MEM 2466.300781 1517172046.8563
MEM 2469.281250 1517172046.9566
MEM 2469.648438 1517172047.0569
MEM 2470.148438 1517172047.1572
MEM 2471.769531 1517172047.2575
MEM 2473.132812 1517172047.3578
MEM 2474.253906 1517172047.4580
MEM 2474.382812 1517172047.5583
MEM 2474.843750 1517172047.6587
MEM 2475.046875 1517172047.7590
MEM 2475.578125 1517172047.8593
MEM 2475.980469 1517172047.9596
MEM 2476.335938 1517172048.0599
MEM 2476.335938 1517172048.1603
MEM 2476.335938 1517172048.2606
MEM 2476.335938 1517172048.3610
MEM 2476.335938 1517172048.4613
MEM 2476.335938 1517172048.5615
MEM 2476.335938 1517172048.6618
MEM 2476.335938 1517172048.7621
MEM 2476.335938 1517172048.8625
MEM 2476.335938 1517172048.9628
MEM 2476.335938 1517172049.0631
MEM 2476.335938 1517172049.1635
MEM 2476.335938 1517172049.2638
MEM 2476.335938 1517172049.3642
MEM 2476.335938 1517172049.4645
MEM 2476.335938 1517172049.5650
MEM 2476.351562 1517172049.6654
MEM 2476.351562 1517172049.7658
MEM 2476.351562 1517172049.8661
MEM 2476.351562 1517172049.9666
MEM 2476.351562 1517172050.0670
MEM 2476.351562 1517172050.1675
MEM 2476.351562 1517172050.2680
MEM 2476.371094 1517172050.3683
MEM 2476.390625 1517172050.4686
MEM 2476.390625 1517172050.5690
MEM 2476.390625 1517172050.6694
MEM 2476.390625 1517172050.7697
MEM 2476.390625 1517172050.8700
MEM 2476.390625 1517172050.9703
MEM 2476.390625 1517172051.0708
MEM 2476.390625 1517172051.1711
MEM 2476.390625 1517172051.2715
MEM 2476.390625 1517172051.3718
MEM 2476.390625 1517172051.4721
MEM 2476.390625 1517172051.5725
MEM 2476.390625 1517172051.6728
MEM 2476.390625 1517172051.7732
MEM 2476.390625 1517172051.8735
MEM 2476.390625 1517172051.9738
MEM 2476.390625 1517172052.0741
MEM 2476.390625 1517172052.1744
MEM 2476.390625 1517172052.2747
MEM 2476.390625 1517172052.3751
MEM 2476.390625 1517172052.4754
MEM 2476.390625 1517172052.5757
MEM 2476.390625 1517172052.6760
MEM 2476.390625 1517172052.7763
MEM 2476.453125 1517172052.8766
MEM 2476.453125 1517172052.9769
MEM 2476.453125 1517172053.0772
MEM 2476.453125 1517172053.1775
MEM 2476.453125 1517172053.2778
MEM 2476.453125 1517172053.3781
MEM 2476.453125 1517172053.4784
MEM 2476.453125 1517172053.5787
MEM 2476.453125 1517172053.6790
MEM 2476.453125 1517172053.7793
MEM 2476.468750 1517172053.8796
MEM 2476.468750 1517172053.9800
MEM 2476.468750 1517172054.0802
MEM 2476.468750 1517172054.1805
MEM 2476.468750 1517172054.2808
MEM 2476.468750 1517172054.3811
MEM 2476.468750 1517172054.4814
MEM 2477.246094 1517172054.5817
MEM 2478.167969 1517172054.6820
MEM 2478.992188 1517172054.7823
MEM 2479.589844 1517172054.8828
MEM 2479.808594 1517172054.9831
MEM 2479.960938 1517172055.0834
MEM 2479.960938 1517172055.1838
MEM 2479.960938 1517172055.2843
MEM 2479.960938 1517172055.3847
MEM 2479.960938 1517172055.4851
MEM 2480.039062 1517172055.5855
MEM 2480.070312 1517172055.6858
MEM 2480.156250 1517172055.7862
MEM 2480.234375 1517172055.8865
MEM 2480.890625 1517172055.9868
MEM 2481.859375 1517172056.0871
MEM 2482.566406 1517172056.1874
MEM 2483.667969 1517172056.2877
MEM 2485.144531 1517172056.3880
MEM 2486.824219 1517172056.4885
MEM 2488.339844 1517172056.5888
MEM 2489.675781 1517172056.6891
MEM 2490.542969 1517172056.7895
MEM 2490.542969 1517172056.8898
MEM 2490.542969 1517172056.9901
MEM 2490.542969 1517172057.0905
MEM 2490.542969 1517172057.1908
MEM 2490.574219 1517172057.2911
MEM 2491.808594 1517172057.3915
MEM 2493.019531 1517172057.4919
MEM 2493.300781 1517172057.5922
MEM 2494.328125 1517172057.6925
MEM 2497.304688 1517172057.7928
MEM 2497.488281 1517172057.8931
MEM 2497.660156 1517172057.9934
MEM 2497.855469 1517172058.0937
MEM 2498.300781 1517172058.1939
MEM 2498.945312 1517172058.2942
MEM 2499.750000 1517172058.3945
MEM 2500.371094 1517172058.4948
MEM 2500.800781 1517172058.5951
MEM 2501.433594 1517172058.6955
MEM 2501.925781 1517172058.7958
MEM 2502.585938 1517172058.8962
MEM 2503.062500 1517172058.9966
MEM 2504.769531 1517172059.0972
MEM 2506.210938 1517172059.1977
MEM 2507.480469 1517172059.2981
MEM 2508.718750 1517172059.3986
MEM 2509.976562 1517172059.4989
MEM 2511.210938 1517172059.5994
MEM 2512.332031 1517172059.6997
MEM 2513.128906 1517172059.8001
MEM 2514.234375 1517172059.9006
MEM 2514.234375 1517172060.0011
MEM 2514.234375 1517172060.1016
MEM 2514.234375 1517172060.2019
MEM 2514.234375 1517172060.3023
